1,2,3,4,5,6,7,8,9,10
20.54912726,21.49577838,20.35034826,24.25487415,19.84819972,20.87951541,21.39466024,21.11358653,,19.84819972
0.778361545,1.072379325,0.898771878,1.346429154,1.535141938,1.133093649,,,,0.778361545
1.320133069,,,,,,,,,1.320133069
1.655185004,1.876710629,,,,,,,,1.655185004
1.065706865,0.653741436,0.599678087,1.312029332,0.936932805,0.931019012,1.425955256,1.461114836,2.173387555,0.599678087
40.71523416,40.49244131,44.99049595,44.04553421,40.0954314,38.40605508,44.77691521,43.6829405,40.0452752,38.40605508
18.77645107,18.6073579,19.12762373,19.09058292,,,,,,18.6073579
138.4825501,138.0693589,138.937302,138.4555016,,,,,,138.0693589
89.68205231,89.33309956,88.79229579,89.83655442,88.66653077,,,,,88.66653077
97.79954189,98.03632952,98.1234386,98.04418691,98.83444003,,,,,97.79954189
17.27300546,17.69141988,18.62695934,,,,,,,17.27300546
64.08652188,67.52106289,63.29022921,64.06494913,67.56101569,65.28351528,65.26404604,65.91204468,67.6340807,63.29022921
2.023253036,0.559063027,1.239062412,1.25960843,0.802228116,1.774488461,1.090595283,1.862195097,0.708006724,0.559063027
0.853463507,0.85273488,2.029584779,1.502522977,1.495565926,2.796945196,3.668635522,2.758344016,1.772941328,0.85273488
45.41717539,40.64673073,43.91562127,39.97455767,43.01502157,40.78919372,42.81323878,44.54893748,42.37002795,39.97455767
38.5963171,38.42284262,37.1365857,37.66982889,34.16955944,36.25852815,38.03701172,38.09707522,38.12642487,34.16955944
47.91896078,47.64686873,47.47606704,47.684282,47.47985733,47.56709902,47.66051365,47.69157565,48.38243679,47.47606704
78.77164697,78.21873681,78.47319395,78.59262433,77.62177031,77.41247497,78.31298014,78.3352691,78.14549768,77.41247497
52.22504408,52.6323241,52.0224987,52.52450647,53.13187191,53.58898908,53.97509532,,,52.0224987
36.20580974,37.71864393,37.26485371,37.04631898,37.00472576,37.34316305,37.37644579,37.02561215,36.89254229,36.20580974
53.24901974,54.79386634,54.08708315,53.71798534,54.08260947,54.53549108,53.92323799,55.2237953,57.53041212,53.24901974
